method,seed,rows,success,ci95_success,physical_violation,ci95_physical_violation,human_burden,ci95_human_burden,intent_error,ci95_intent_error,overpromise,ci95_overpromise,autonomy_conflict,ci95_autonomy_conflict,unnecessary_query,ci95_unnecessary_query,negotiation_rounds,ci95_negotiation_rounds,ece,ci95_ece,regret,ci95_regret,utility,ci95_utility
language_affordance_planner,7,192,0.50521,0.02823,0.18663,0.02277,0.16667,0.02047,0.38281,0.02719,0.26649,0.02665,0.13976,0.02018,0.01215,0.00660,0.45886,0.00639,0.34323,0.01218,0.30426,0.00358,-0.09970,0.04114
language_affordance_planner,8,192,0.53299,0.02957,0.19097,0.02275,0.14844,0.02108,0.38368,0.02795,0.29340,0.02766,0.12934,0.01970,0.01215,0.00615,0.45882,0.00636,0.34427,0.01258,0.30516,0.00366,-0.07722,0.04158
language_affordance_planner,9,192,0.47656,0.02970,0.19097,0.02351,0.15972,0.02235,0.37413,0.02790,0.30816,0.02668,0.12934,0.02057,0.01302,0.00634,0.45836,0.00652,0.34422,0.01258,0.30544,0.00355,-0.14198,0.04357
oracle_joint_intent_capability_planner,0,192,0.80469,0.02233,0.05642,0.01417,0.28299,0.02678,0.23351,0.02687,0.09462,0.01664,0.00608,0.00443,0.00434,0.00376,0.89060,0.01869,0.06984,0.01463,0.00000,0.00000,0.44163,0.03321
oracle_joint_intent_capability_planner,1,192,0.81076,0.02379,0.04861,0.01273,0.26736,0.02598,0.22222,0.02392,0.09983,0.01757,0.00521,0.00411,0.00174,0.00240,0.89095,0.01863,0.06309,0.01334,0.00000,0.00000,0.46595,0.02887
oracle_joint_intent_capability_planner,2,192,0.77344,0.02543,0.04774,0.01197,0.29253,0.02758,0.21354,0.02306,0.09375,0.01799,0.00955,0.00549,0.00087,0.00170,0.89033,0.01872,0.06289,0.01248,0.00000,0.00000,0.42265,0.03392
oracle_joint_intent_capability_planner,3,192,0.79688,0.02268,0.04514,0.01320,0.29340,0.02766,0.21528,0.02362,0.11458,0.01799,0.00347,0.00338,0.00087,0.00170,0.89104,0.01880,0.05982,0.01366,0.00000,0.00000,0.44064,0.03216
oracle_joint_intent_capability_planner,4,192,0.81944,0.02162,0.04601,0.01211,0.27604,0.02594,0.22135,0.02462,0.09462,0.01766,0.00868,0.00578,0.00000,0.00000,0.89098,0.01885,0.06090,0.01271,0.00000,0.00000,0.47545,0.03120
oracle_joint_intent_capability_planner,5,192,0.78212,0.02307,0.03819,0.01104,0.27604,0.02526,0.21615,0.02339,0.10417,0.01845,0.00781,0.00605,0.00087,0.00170,0.88987,0.01875,0.05374,0.01162,0.00000,0.00000,0.44459,0.02956
oracle_joint_intent_capability_planner,6,192,0.79167,0.02376,0.04688,0.01240,0.28299,0.02857,0.21788,0.02393,0.10503,0.02052,0.00434,0.00376,0.00087,0.00170,0.89015,0.01866,0.06213,0.01279,0.00000,0.00000,0.44127,0.03465
oracle_joint_intent_capability_planner,7,192,0.79514,0.02263,0.06076,0.01432,0.25174,0.02824,0.21094,0.02360,0.11458,0.02070,0.00694,0.00530,0.00087,0.00170,0.89055,0.01866,0.07544,0.01455,0.00000,0.00000,0.44134,0.03113
oracle_joint_intent_capability_planner,8,192,0.80556,0.02202,0.04514,0.01320,0.28733,0.02731,0.24132,0.02504,0.09635,0.01780,0.01042,0.00572,0.00087,0.00170,0.89113,0.01861,0.05990,0.01369,0.00000,0.00000,0.44896,0.03246
oracle_joint_intent_capability_planner,9,192,0.79861,0.02410,0.05122,0.01331,0.26389,0.02898,0.21528,0.02386,0.08941,0.01686,0.01042,0.00666,0.00174,0.00240,0.89033,0.01887,0.06591,0.01377,0.00000,0.00000,0.45802,0.03191
proposed_affordance_negotiation_v4,0,192,0.65712,0.02897,0.11024,0.01829,0.31858,0.02618,0.30729,0.02861,0.17622,0.02174,0.03646,0.01240,0.00781,0.00500,0.81036,0.01519,0.20729,0.01511,0.17472,0.00184,0.14713,0.03851
proposed_affordance_negotiation_v4,1,192,0.61719,0.02895,0.12326,0.02011,0.27951,0.02620,0.27778,0.02765,0.19271,0.02297,0.03646,0.01142,0.00694,0.00472,0.80982,0.01514,0.21859,0.01614,0.17535,0.00172,0.11426,0.04338
proposed_affordance_negotiation_v4,2,192,0.63715,0.02761,0.10938,0.01910,0.28125,0.02778,0.27517,0.02493,0.19878,0.02338,0.03559,0.01027,0.00608,0.00443,0.81004,0.01521,0.20748,0.01524,0.17456,0.00182,0.14737,0.04080
proposed_affordance_negotiation_v4,3,192,0.61719,0.02783,0.10590,0.01693,0.27691,0.02581,0.29948,0.02593,0.18750,0.02244,0.04514,0.01229,0.00781,0.00555,0.80846,0.01507,0.20489,0.01432,0.17502,0.00185,0.12670,0.03976
proposed_affordance_negotiation_v4,4,192,0.63628,0.02827,0.13368,0.01949,0.27083,0.02501,0.30122,0.02844,0.19097,0.02375,0.04514,0.01406,0.01128,0.00594,0.80898,0.01524,0.22549,0.01593,0.17447,0.00182,0.11537,0.04225
proposed_affordance_negotiation_v4,5,192,0.63194,0.02812,0.11024,0.01876,0.31944,0.02775,0.30729,0.02617,0.18316,0.02192,0.04774,0.01357,0.00868,0.00525,0.81063,0.01510,0.20829,0.01519,0.17446,0.00188,0.11528,0.03943
proposed_affordance_negotiation_v4,6,192,0.63194,0.02873,0.10243,0.01632,0.28038,0.02574,0.28038,0.02717,0.17448,0.02305,0.04253,0.01188,0.00694,0.00472,0.80935,0.01514,0.20216,0.01406,0.17488,0.00173,0.15679,0.04020
proposed_affordance_negotiation_v4,7,192,0.63542,0.02616,0.10069,0.01837,0.28993,0.02637,0.28125,0.02693,0.17882,0.02454,0.03733,0.01123,0.00955,0.00600,0.80984,0.01509,0.20210,0.01467,0.17424,0.00179,0.15638,0.03704
proposed_affordance_negotiation_v4,8,192,0.61372,0.02863,0.10764,0.01914,0.26476,0.02451,0.27865,0.02521,0.17708,0.02347,0.04253,0.01236,0.00434,0.00376,0.81045,0.01503,0.20693,0.01514,0.17450,0.00182,0.13994,0.03954
proposed_affordance_negotiation_v4,9,192,0.63108,0.02622,0.09896,0.01808,0.29427,0.02678,0.27865,0.02438,0.17448,0.02452,0.03646,0.01063,0.00608,0.00504,0.81014,0.01505,0.19939,0.01486,0.17510,0.00175,0.15572,0.03821
risk_aware_shared_autonomy,0,192,0.62760,0.02645,0.10156,0.01737,0.24566,0.02631,0.34635,0.02685,0.18924,0.02214,0.05816,0.01444,0.00174,0.00240,0.67069,0.01224,0.19568,0.01481,0.18388,0.00196,0.14404,0.03364
risk_aware_shared_autonomy,1,192,0.61198,0.02907,0.09983,0.01724,0.25347,0.02412,0.34549,0.02735,0.18056,0.02464,0.05816,0.01483,0.00260,0.00293,0.67077,0.01231,0.19450,0.01441,0.18471,0.00186,0.13057,0.03821
risk_aware_shared_autonomy,2,192,0.61719,0.02772,0.08333,0.01618,0.22135,0.02521,0.32726,0.02701,0.16927,0.02466,0.05556,0.01414,0.00347,0.00338,0.66996,0.01236,0.18206,0.01355,0.18498,0.00193,0.18042,0.03962
risk_aware_shared_autonomy,3,192,0.61892,0.02911,0.11719,0.01900,0.23090,0.02758,0.31944,0.02987,0.17274,0.02163,0.06163,0.01455,0.00000,0.00000,0.67120,0.01230,0.20736,0.01569,0.18419,0.00190,0.14093,0.04027
risk_aware_shared_autonomy,4,192,0.61545,0.02592,0.12674,0.02110,0.23264,0.02664,0.34983,0.02950,0.16233,0.02190,0.06684,0.01488,0.00347,0.00338,0.67131,0.01226,0.21319,0.01727,0.18451,0.00195,0.11803,0.03963
risk_aware_shared_autonomy,5,192,0.62934,0.03039,0.10069,0.01722,0.26389,0.02557,0.31510,0.02722,0.16493,0.02364,0.05903,0.01385,0.00260,0.00293,0.67090,0.01225,0.19468,0.01476,0.18378,0.00197,0.15933,0.04012
risk_aware_shared_autonomy,6,192,0.61024,0.02979,0.11458,0.01831,0.24392,0.02494,0.30208,0.02851,0.16059,0.02242,0.04774,0.01221,0.00260,0.00293,0.67027,0.01233,0.20631,0.01523,0.18413,0.00186,0.14364,0.03991
risk_aware_shared_autonomy,7,192,0.61979,0.02744,0.09115,0.01559,0.22917,0.02466,0.32031,0.02750,0.16406,0.02243,0.07118,0.01645,0.00174,0.00240,0.66961,0.01216,0.18880,0.01328,0.18393,0.00184,0.17164,0.03741
risk_aware_shared_autonomy,8,192,0.62240,0.02922,0.09028,0.01786,0.24566,0.02541,0.32899,0.02818,0.16840,0.02314,0.05642,0.01497,0.00000,0.00000,0.67123,0.01223,0.18681,0.01492,0.18399,0.00188,0.16704,0.04207
risk_aware_shared_autonomy,9,192,0.61285,0.02834,0.09375,0.01556,0.24045,0.02606,0.30208,0.02594,0.16233,0.02307,0.06424,0.01338,0.00260,0.00293,0.67085,0.01226,0.19075,0.01327,0.18527,0.00185,0.16542,0.03611
risk_calibrated_collaborative_affordance_v5,0,192,0.74306,0.02470,0.06510,0.01464,0.24566,0.02400,0.23438,0.02497,0.11806,0.01835,0.02257,0.00910,0.00087,0.00170,0.81824,0.01725,0.09455,0.01482,0.07667,0.00100,0.37605,0.03389
